# English source<TAB>French Canadian translation. Authored for The Zebes Project.
Language	Langue
Early Kraid	Kraid précoce
Access Kraid area by Wall-Jumping	Atteindre la région de Kraid par sauts muraux.
X-Ray Damage Boost	Viseur radioscopique par dégâts propulsifs
Get to X-Ray location without Space-Jump, Grapple (no energy requirements), Ice+Hi-Jump or Bombs (see Hard Room settings)	Atteindre le viseur sans saut spatial ni rayon grappin (sans exigence d'énergie), ni glace et bottes de saut, ni bombes. Voir les réglages de salles difficiles.
X-Ray Ice Climb	Viseur radioscopique par escalade sur glace
Get to X-Ray location with Ice beam and no Hi-Jump (see Hard Room settings for energy requirements)	Atteindre le viseur avec le rayon de glace sans bottes de saut. Voir les besoins d'énergie dans les réglages de salles difficiles.
Red Tower Climb	Ascension de la tour rouge
Climb Red Tower without Ice Beam	Monter la tour rouge sans rayon de glace.
Clip into the Tube with Morph	Traverser le tube en Morphosphère
Clip through the Maridia tube with unmorphing and wiggling. Mostly useful in area rando.	Traverser le tube de Maridia en quittant la Morphosphère et en oscillant. Surtout utile lorsque les régions sont mélangées.
Tube exit Gravity jump	Sortie du tube par saut de gravité
Exit through the already broken tube with no items by gravity jumping from an adjacent room. Adjust direction just as you enter the tube room. Mostly useful in area rando.	Sortir du tube déjà brisé sans équipement, par un saut de gravité depuis une salle voisine. Ajuster la direction à l'entrée de la salle du tube. Surtout utile avec les régions mélangées.
Bomb-less Ron Popeil Missiles	Missiles Ron Popeil sans bombes
Access the most behind missile in Green Brinstar Reserve with Morph and Screw Attack	Atteindre les missiles les plus reculés de la réserve de Brinstar vert avec la Morphosphère et l'attaque en vrille.
Old Mother Brain with Speed	Ancienne Mother Brain avec l'Accélérateur
Access Old Mother Brain Missile pack location with just the Speed Booster	Atteindre l'emplacement des missiles de l'ancienne salle de Mother Brain avec seulement l'Accélérateur.
Moondance	Moondance
Access Etecoons area using moonfall shenanigans	Atteindre la zone des Etecoons grâce aux manipulations de chute lunaire.
Gauntlet Access w/o Hi-Jump	Corridor d'épreuves sans bottes de saut
Access Gauntlet area using really tricky Wall-Jumps	Atteindre le corridor d'épreuves avec des sauts muraux très délicats.
Hi-Jump Gauntlet Access	Corridor d'épreuves avec bottes de saut
Access Gauntlet area using tricky Wall-Jumps	Atteindre le corridor d'épreuves avec des sauts muraux délicats.
Gauntlet Minors Access	Munitions du corridor d'épreuves
Access Gauntlet minors with SpeedBooster, 1 Etank and 1 Power Bomb pack	Obtenir les munitions du corridor d'épreuves avec l'Accélérateur, une réserve d'énergie et un lot de bombes de puissance.
Ice Escape	Sortie de la zone du rayon de glace
Freeze the platforms and exit Ice Beam area without bombs	Geler les plateformes pour sortir de la zone du rayon de glace sans bombes.
Ice Escape without Ice	Sortie de la zone de glace sans glace
Ice escape without freezing the platforms	Sortir de la zone du rayon de glace sans geler les plateformes.
Wall Jump to exit Cathedral	Sortie de la cathédrale par saut mural
Use a delayed wall jump to exit Cathedral	Effectuer un saut mural retardé pour sortir de la cathédrale.
Bubble Mountain wall jump	Saut mural de la montagne des bulles
Run from the save room and get up Bubble Mountain without Hi-Jump	Prendre de l'élan depuis la station de sauvegarde pour monter la montagne des bulles sans bottes de saut.
Double Chamber wall jump	Saut mural de la double salle
Climb up Double Chamber (pre-Wave Beam room) after entering through the bottom door	Monter la double salle avant le rayon à ondes après être entré par la porte du bas.
Nova Boost	Nova Boost
Use a D-Boost on the Sova to enter Cathedral	Se propulser en subissant les dégâts d'un Sova pour entrer dans la cathédrale.
Norfair Reserve Damage Boost	Réserve de Norfair par dégâts propulsifs
Use a D-Boost to reach Norfair Reserve area	Se propulser en subissant des dégâts pour atteindre la zone de la réserve de Norfair.
Crocomire Power Bombs Damage Boost	Bombes de Crocomire par dégâts propulsifs
Use a D-Boost to reach Crocomire Power Bombs	Se propulser en subissant des dégâts pour atteindre les bombes de puissance de Crocomire.
Crocomire Power Bombs with Ice Beam	Bombes de Crocomire au rayon de glace
Get the farm bugs up and freeze them to reach Crocomire Power Bombs	Attirer les insectes vers le haut puis les geler pour atteindre les bombes de puissance de Crocomire.
Missile under Ice beam from Crocomire	Missiles sous le rayon de glace depuis Crocomire
Access missile pack under Ice beam location by reverse sparking Crocomire speedway	Atteindre les missiles sous le rayon de glace avec un Shinespark en sens inverse dans le couloir rapide de Crocomire.
Frog speedway without speed	Couloir des grenouilles sans Accélérateur
Traverse frog speedway from right to left, without Speed Booster, but with Wave and either Spazer or Plasma	Traverser le couloir des grenouilles de droite à gauche sans Accélérateur, avec le rayon à ondes et le rayon Spazer ou plasma.
Lava Dive	Plongeon dans la lave
Enter Lower Norfair with Varia and Hi-Jump	Entrer dans Norfair inférieur avec Varia et les bottes de saut.
Hi-Jump less Lava Dive	Plongeon sans bottes de saut
Enter Lower Norfair with just the Varia suit	Entrer dans Norfair inférieur avec seulement la combinaison Varia.
Worst Room Ice and Charge	Worst Room avec glace et charge
Go through Worst Room In The Game JUST by freezing pirates	Traverser la salle Worst Room In The Game uniquement en gelant les Pirates.
Worst Room insane wall jump	Saut mural extrême de Worst Room
Do the frame+pixel perfect wall jump to get out Worst Room without Hi-Jump	Sortir de Worst Room sans bottes de saut avec un saut mural précis au pixel et à l'image près.
Screw Attack Exit	Sortie de l'attaque en vrille
Gain momentum with Hi-Jump and Speed Booster from Golden Torizo Energy Recharge room, then Wall Jump in Screw Attack room, destroying the ceiling with Screw Attack.	Prendre de l'élan avec les bottes de saut et l'Accélérateur depuis la station d'énergie du Torizo doré. Faire un saut mural dans la salle de l'attaque en vrille et détruire le plafond avec celle-ci.
Screw Attack Exit without Screw	Sortie sans attaque en vrille
Destroy the ceiling, then jump from inside the door with Hi-Jump and Speed Booster to climb up in Screw Attack room	Détruire le plafond, puis sauter depuis l'intérieur de la porte avec les bottes de saut et l'Accélérateur pour remonter la salle.
Firefleas Wall Jump	Sauts muraux des lucioles
Get back up from bottom of firefleas without movement items or Ice Beam	Remonter du bas de la salle des lucioles sans équipement de déplacement ni rayon de glace.
Dodge Lower Norfair Enemies	Esquive dans Norfair inférieur
Go through hard-hitting enemies in Lower Norfair without taking damage or killing them	Traverser les ennemis puissants de Norfair inférieur sans subir de dégâts ni les vaincre.
Continuous Wall-Jump	Saut mural continu
Get over the Moat using CWJ	Traverser les douves avec un saut mural continu (CWJ).
Diagonal Bomb-Jump	Sauts à la bombe diagonaux
Get over The Moat using Bomb-Jumps	Traverser les douves avec des sauts à la bombe.
Mockball Wrecked Ship	Mockball vers l'épave
Get over the moat using Mockball and Spring Ball	Traverser les douves avec un Mockball et la boule de saut.
SpongeBath Bomb-Jump	Salle des éponges par sauts à la bombe
Get through Sponge Bath room with Bomb-Jumps	Traverser la salle des éponges avec des sauts à la bombe.
SpongeBath Hi-Jump	Salle des éponges avec bottes de saut
Get through sponge bath room with Hi-Jump and Wall-Jumps	Traverser la salle des éponges avec les bottes de saut et des sauts muraux.
SpongeBath Speed	Salle des éponges avec Accélérateur
Get through sponge bath room with Speed Booster and Wall-Jumps	Traverser la salle des éponges avec l'Accélérateur et des sauts muraux.
Mt. Everest without anything	Mont Everest avec équipement minimal
Make your way through Mt. Everest with nothing but Ice and Hi-Jump	Traverser le mont Everest avec seulement le rayon de glace et les bottes de saut.
Double SpringBall-Jump	Double saut de la boule de saut
With Hi-Jump boots do two SpringBall-Jumps in a row	Avec les bottes de saut, enchaîner deux sauts de la boule de saut.
Botwoon to Draygon with Ice	De Botwoon à Draygon avec la glace
When past Botwoon, access Draygon using Hi-Jump and Ice only	Après Botwoon, atteindre Draygon avec seulement les bottes de saut et le rayon de glace.
West Sand Hole suitless Wall Jumps	Sauts muraux de la fosse ouest sans gravité
Access items in West Sand Hole (aka Left Sand Pit) with just Hi-Jump	Atteindre les objets de la fosse de sable ouest avec seulement les bottes de saut.
East Sand Hall Spring Ball jump	Couloir de sable est avec boule de saut
Cross East Sand Hall left to right with Hi-Jump and Spring Ball. On the left side of the raised platform, jump for max height. Lateral Midair Morph for horizontal momentum, and perform the springball jump the moment before touching the sandfall. Pause again to disable springball as soon as possible.	Traverser de gauche à droite avec les bottes et la boule de saut. Depuis la gauche de la plateforme surélevée, sauter au maximum, se transformer en gardant l'élan horizontal et rebondir juste avant la chute de sable. Désactiver la boule de saut dès que possible par le menu pause.
West Sand Hall Insane Bomb Jump	Saut à la bombe extrême du sable ouest
Time a bomb to hit Samus when she is morphed, 1 pixel into the sand, inside a sandfall, and moving horizontally. There is a setup using a sand IBJ to get the right timing, and another setup using a very fast jump morph.	Synchroniser une bombe pour toucher Samus en Morphosphère, un pixel dans le sable, sous une chute de sable et en mouvement horizontal. Préparer le rythme avec des sauts à la bombe dans le sable, ou un saut suivi d'une transformation très rapide.
Cacatac Alley Underwater Wall Jump	Saut mural sous l'eau de l'allée Cacatac
Traverse East Cactus Alley Room left to right suitless, using space jump and an underwater wall jump	Traverser l'allée des cactus est de gauche à droite sans combinaison de gravité, avec le saut spatial et un saut mural sous l'eau.
Exit Draygon room with the Grapple	Sortie de Draygon au rayon grappin
Use Grapple to bounce them morph and demorph up to the platform	Rebondir avec le rayon grappin, puis se transformer et se redresser pour atteindre la plateforme.
Exit Draygon room or precious room with a shine spark	Sortie de Draygon au Shinespark
Doing a Crystal flash and being grabbed by Draygon gives a free shine spark	Déclencher un Crystal Flash puis se faire attraper par Draygon pour obtenir une charge de Shinespark gratuite.
Exit the Precious room with an Xray glitch	Sortie de Precious au viseur radioscopique
Use an XrayScope glitch to climb out of the Precious room	Exploiter une faille du viseur radioscopique pour remonter la salle Precious.
Exit the Precious room with a Gravity Jump	Sortie de Precious par saut de gravité
Jump through the exit door into the water in the next room to climb up with a Gravity Jump	Sauter à travers la porte de sortie vers l'eau de la salle voisine pour remonter grâce à un saut de gravité.
Mochtroid Clip	Passage à travers un Mochtroid
Get to Botwoon with Ice Beam	Atteindre Botwoon avec le rayon de glace.
Puyo Clip	Passage à travers un Puyo
Get to Spring Ball with Gravity Suit and Ice Beam	Atteindre la boule de saut avec la combinaison de gravité et le rayon de glace.
Puyo Clip with X-Ray	Passage Puyo avec viseur radioscopique
Get to Spring Ball with Gravity Suit, Ice Beam and X-Ray	Atteindre la boule de saut avec la combinaison de gravité, le rayon de glace et le viseur radioscopique.
Snail Clip	Passage à travers un escargot
Access Aqueduct Missile and Super Missile without SpeedBooster	Atteindre les missiles et super missiles de l'aqueduc sans Accélérateur.
Suitless Puyo Clip	Passage Puyo sans combinaison de gravité
Do the Puyo clip with Hi Jump and without Gravity	Effectuer le passage à travers un Puyo avec les bottes de saut, sans combinaison de gravité.
Suitless Spring Ball item access with R-Jump	Boule de saut sans gravité par saut R
Use X-Ray to force a stand, clip into the ground slightly, hold Angle Up or Down before jumping, jump, release Angle Up/Down (can be done the frame before jump is pressed), and then Morph. Inputs can be buffered with a pause.	Utiliser le viseur radioscopique pour se redresser en s'enfonçant légèrement dans le sol. Maintenir une visée diagonale, sauter, relâcher la visée puis se transformer. La visée peut être relâchée une image avant le saut. La pause peut servir à préparer les entrées.
Escape Spring Ball item suitless with Space Jump	Sortie de la boule de saut au saut spatial
Mid-air morph after escaping water line with Space Jump. Look for the water being between the metal and green tiles.	Se transformer en plein vol après avoir dépassé la surface de l'eau avec le saut spatial. Repérer l'eau entre les tuiles métalliques et vertes.
Crystal Flash Clip	Passage par Crystal Flash
Use a Crystal Flash to clip through crumble blocks to get to Botwoon or Shaktool, using Gravity and Bombs	Avec la combinaison de gravité et les bombes, utiliser un Crystal Flash pour traverser des blocs friables vers Botwoon ou Shaktool.
Suitless Crystal Flash Clip	Passage Crystal Flash sans gravité
Use a Crystal Flash to clip through crumble blocks to get to Botwoon or Shaktool	Utiliser un Crystal Flash pour traverser des blocs friables vers Botwoon ou Shaktool.
Kill Plasma Pirates with Spark	Pirates du plasma au Shinespark
Use shinesparks to kill the pirates in Plasma Beam room	Vaincre les Pirates de la salle du rayon plasma avec des Shinesparks.
Kill Plasma Pirates with Charge	Pirates du plasma au rayon de charge
Use pseudo-screw to kill the pirates in Plasma Beam room	Vaincre les Pirates de la salle du rayon plasma avec une pseudo-attaque en vrille.
Access Spring Ball location with Hi-Jump	Boule de saut avec bottes de saut
With Gravity and Hi-Jump, jump to get through the grapple hole	Avec la combinaison de gravité et les bottes de saut, franchir le passage du bloc à grappin.
Access Spring Ball location with bomb jumps and spring ball	Boule de saut avec rebonds et bombes
With Gravity, bounce on the sand and bomb jump up to get through the grapple hole	Avec la combinaison de gravité, rebondir sur le sable puis monter à la bombe pour franchir le passage du bloc à grappin.
Access Spring Ball location with bomb jumps only	Boule de saut avec bombes seulement
With Gravity, bomb jump up from the sand to get through the grapple hole	Avec la combinaison de gravité, monter depuis le sable à l'aide des bombes pour franchir le passage du bloc à grappin.
Access Spring Ball location with a spring ball jump	Accès par la boule de saut
With Gravity, use a spring ball jump, either from the sand or a ledge to get through the grapple hole	Avec la combinaison de gravité, rebondir en boule de saut depuis le sable ou un rebord pour franchir le passage du bloc à grappin.
Access Spring Ball location with X-Ray climbing	Accès par escalade au viseur radioscopique
Use inbounds X-Ray climbing to get past the grapple hole. Can be required suitless if suitless movement level 3 is enabled.	Grimper avec le viseur radioscopique, en restant dans les limites de la salle, pour franchir le passage du bloc à grappin. Peut être requis sans combinaison de gravité si le déplacement sans gravité de niveau 3 est activé.
Access Spring Ball location with a Gravity jump	Accès par saut de gravité
Do a tricky gravity jump from the sand and get through the grapple hole	Faire un saut de gravité délicat depuis le sable pour franchir le passage du bloc à grappin.
Access Spring Ball location suitless with a flatley jump and Space Jump	Accès sans gravité par saut Flatley
Do a suitless flatley jump to get through the grapple hole, and get out of the water with Space Jump	Faire un saut Flatley sans combinaison de gravité pour franchir le passage du bloc à grappin, puis sortir de l'eau avec le saut spatial.
Overview	Vue d'ensemble
Display	Affichage
DISPLAY	AFFICHAGE
Widescreen	Écran large
Controls	Commandes
CONTROLS	COMMANDES
AUDIO	AUDIO
INTERFACE	INTERFACE
DEBUG	DÉBOGAGE
SYSTEM	SYSTÈME
QOL	AVEC AIDES
ACHIEVEMENTS	SUCCÈS
RANDOMIZED	ALÉATOIRE
VANILLA	CLASSIQUE
Randomized	Aléatoire
Ready	Prête
Fire	Tir
All	Tous
None	Aucun
Fixed	Fixe
Custom	Personnalisé
Drives	Lecteurs
Filesystem	Système de fichiers
Files	Fichiers
Animals	Animaux
Current save	Sauvegarde actuelle
Not rescued	Non sauvés
Rescued	Sauvés
Unrated	Non évaluée
Very hard	Très difficile
God	Divine
Impossible	Impossible
Speedrun - No QoL	Course - Sans aides
Speedrun - QoL	Course - Avec aides
Common	Communes
Basics	Bases
Used across the game	Utilisées partout
Wrecked Ship	Épave
Access	Accès
Sponge Bath	Salle des éponges
Underwater movement without Gravity Suit	Déplacements sous l'eau sans combinaison de gravité
Clips	Traversées de surfaces
Plasma Room	Salle du rayon plasma
Jumps	Sauts
Spring Ball Access	Accès à la boule de saut
Suitless Draygon Exit	Sortie de Draygon sans gravité
Obscure suitless stuff	Manœuvres rares sans gravité
Upper Norfair	Norfair supérieur
Main Upper Norfair	Secteur principal de Norfair supérieur
Lower Norfair	Norfair inférieur
Worst Room In The Game	Worst Room In The Game
Other	Autres
Bosses/End	Boss et finale
Mini-Bosses	Miniboss
End Game	Fin du jeu
NATIVE DECOMPILATION	DÉCOMPILATION NATIVE
NATIVE RUNTIME	EXÉCUTION NATIVE
DISASSEMBLY REFERENCES	RÉFÉRENCES DE DÉSASSEMBLAGE
ANONYMOUS CONTRIBUTORS	CONTRIBUTIONS ANONYMES
REMASTERED SOUNDTRACK	TRAME SONORE REMATRICÉE
MUSIC RESTORATION	RESTAURATION MUSICALE
ORCHESTRAL ARRANGEMENTS	ARRANGEMENTS ORCHESTRAUX
INTRO VOICE	VOIX DE L'INTRODUCTION
MSU PACK COMPILATION	COMPILATION DES ENSEMBLES MSU
MSU MUSIC INTEGRATION	INTÉGRATION MUSICALE MSU
ENGINE AND MIDDLEWARE	MOTEUR ET COMPOSANTS
AND CONTRIBUTORS	ET LES AUTRES CONTRIBUTEURS
GAMEPLAY STATISTICS	STATISTIQUES DE PARTIE
TRACKED SINCE THIS UPDATE	SUIVI DEPUIS CETTE MISE À JOUR
RANDOMIZED GAME	PARTIE ALÉATOIRE
VANILLA GAME	PARTIE CLASSIQUE
CHOZO RELIC HUNT	CHASSE AUX TABLETTES CHOZO
REAL TIME	TEMPS RÉEL
IN GAME TIME	TEMPS DE JEU
DEATHS	MORTS
RESETS	REDÉMARRAGES
DOOR TRANSITIONS	PORTES TRAVERSÉES
TIME IN DOORS	TEMPS AUX PORTES
DOOR ALIGNMENT	ALIGNEMENT AUX PORTES
PAUSE MENU	MENU PAUSE
TIME SPENT IN	TEMPS PASSÉ DANS
GREEN BRINSTAR	BRINSTAR VERT
RED BRINSTAR	BRINSTAR ROUGE
WRECKED SHIP	ÉPAVE
KRAID'S LAIR	ANTRE DE KRAID
UPPER NORFAIR	NORFAIR SUPÉRIEUR
LOWER NORFAIR	NORFAIR INFÉRIEUR
WEST MARIDIA	MARIDIA OUEST
EAST MARIDIA	MARIDIA EST
SHOTS AND AMMO FIRED	TIRS ET MUNITIONS UTILISÉS
UNCHARGED SHOTS	TIRS NON CHARGÉS
CHARGED SHOTS	TIRS CHARGÉS
BEAM ATTACKS	ATTAQUES AU RAYON
MISSILES	MISSILES
SUPER MISSILES	SUPER MISSILES
POWER BOMBS	BOMBES DE PUISSANCE
LAG TIME	TEMPS DE RALENTISSEMENT
THANKS FOR PLAYING	MERCI D'AVOIR JOUÉ
WAIT	ATTENDEZ
Flashing Doors	Portes clignotantes
Show the color of a locked door from the other side.	Affiche la couleur d'une porte verrouillée depuis l'autre côté.
Dachora	Dachora
Disable respawning blocks in the [[Dachora Room]]	Empêche les blocs de réapparaître dans la salle du Dachora.
Early Supers	Super missiles précoces
Add shot blocks to [[Early Supers Room]] to escape without morph.	Ajoute des blocs destructibles au tir dans la salle des premiers super missiles pour en sortir sans Morphosphère.
Hi Jump	Bottes de saut
Replace bomb blocks with shot blocks in [[Hi Jump Energy Tank Room]]	Remplace les blocs à bombes par des blocs destructibles au tir dans la salle de la réserve d'énergie des bottes de saut.
Moat	Douves
Replace bomb blocks with shot blocks at [[The Moat]]	Remplace les blocs à bombes par des blocs destructibles au tir dans les douves.
SpoSpo Save	Sauvegarde de Spore Spawn
Access [[Big Pink]] save station without morph	Permet d'atteindre la station de sauvegarde de la grande salle rose sans Morphosphère.
Get though [[Cathedral Entrance]] without Hi Jump	Permet de traverser l'entrée de la cathédrale sans bottes de saut.
Red Tower	Tour rouge
Always be able to get back up from bottom [[Red Tower]]	Permet toujours de remonter depuis le bas de la tour rouge.
Replace bomb block with shot block in [[Below Spazer]]	Remplace le bloc à bombes sous le Spazer par un bloc destructible au tir.
Climb	Puits d'ascension
Replace [[Climb]] Supers exit bomb block with a shot block	Remplace le bloc à bombes de la sortie des super missiles du puits d'ascension par un bloc destructible au tir.
Brinstar Map	Carte de Brinstar
Remove grey door in [[Brinstar Pre-Map Room]]	Retire la porte grise de la salle précédant la carte de Brinstar.
Kraid Save	Sauvegarde de Kraid
Replace the bomb block in the [[Warehouse Kihunter Room]] with a shot block	Remplace le bloc à bombes de l'entrepôt aux Ki Hunters par un bloc destructible au tir.
Mission Impossible	Mission impossible
Replace bomb block with shot block in [[Pink Brinstar Power Bomb Room]]	Remplace le bloc à bombes de la salle des bombes de puissance de Brinstar rose par un bloc destructible au tir.
Crab Tunnel Gate	Barrière du tunnel aux crabes
Remove green gate in [[Crab Tunnel]]	Retire la barrière verte du tunnel aux crabes.
Crab Hole	Puits aux crabes
Rearrange blocks in [[Crab Hole]] for grav-less access	Réorganise les blocs du puits aux crabes pour permettre le passage sans combinaison de gravité.
Green Hill Gate	Barrière de la colline verte
Remove blue gate in [[Green Hill Zone]] and make meme route wall jump easier	Retire la barrière bleue de la colline verte et facilite le saut mural du parcours inhabituel.
Aqueduct Blocks	Blocs de l'aqueduc
Replace [[Aqueduct]] power-bomb blocks with bomb blocks	Remplace les blocs à bombes de puissance de l'aqueduc par des blocs à bombes ordinaires.
Red Tower Gate	Barrière de la tour rouge
Remove the green gate in the [[Caterpillar Room]]	Retire la barrière verte de la salle de la chenille.
Red Tower Access	Accès de la tour rouge
Access maridia entrance in the [[Caterpillar Room]]	Permet d'atteindre l'entrée de Maridia dans la salle de la chenille.
East Tunnel Gate	Barrière du tunnel est
Remove green gate in [[East Tunnel]]	Retire la barrière verte du tunnel est.
East Tunnel	Tunnel est
Reveals ceilling access in the east tunnel.	Révèle l'accès au plafond du tunnel est.
LN Crumbles	Blocs friables de Norfair inférieur
Remove crumble blocks in [[Single Chamber]]	Retire les blocs friables de la salle Single Chamber.
LN Access	Accès à Norfair inférieur
Makes the hidden LN entrance in [[Single Chamber]] more accessible. Also removes crumble blocks.	Facilite l'accès à l'entrée cachée de Norfair inférieur dans Single Chamber. Retire aussi les blocs friables.
East Ocean	Océan est
Open door to [[Sponge Bath]] and add two platforms to [[East Ocean]] (access [[Forgoten Highway]] with only hi-jump boots)	Ouvre la porte de la salle des éponges et ajoute deux plateformes dans l'océan est pour atteindre la route oubliée avec seulement les bottes de saut.
Bomb Torizo	Torizo des bombes
WS Energy	Énergie de l'épave
Places the item in [[Wrecked Ship Energy Tank Room]] and colors upper door in [[Electric Death Room]] before the ship is activated.	Rend l'objet de la réserve d'énergie de l'épave disponible et colore la porte supérieure de la salle Electric Death avant l'activation du vaisseau.
Acid Statue	Statue de l'acide
Activate the statue in the [[Acid Statue Room]] before space jump has been found and adds a platform for easy access.	Permet d'activer la statue de la salle d'acide avant d'obtenir le saut spatial et ajoute une plateforme pour faciliter l'accès.
ROM not found or unreadable. Select your Super Metroid ROM below.	ROM introuvable ou illisible. Choisissez votre ROM de Super Metroid ci-dessous.
Wrong ROM size: %lld bytes. Expected 3,145,728 bytes (unheadered Japan/USA ROM).	Taille incorrecte : %lld octets. Taille attendue : 3 145 728 octets (ROM Japon/États-Unis sans en-tête).
Could not read the complete ROM. Select the file again.	Impossible de lire la ROM au complet. Choisissez de nouveau le fichier.
Incompatible ROM. CRC32: %08X; expected D63ED5F8. Use the unmodified Japan/USA ROM.	ROM incompatible. CRC32 : %08X; valeur attendue : D63ED5F8. Utilisez la ROM Japon/États-Unis non modifiée.
ROM integrity check failed (SHA-1 mismatch). Use the unmodified Japan/USA ROM.	Échec de vérification de la ROM (SHA-1 différent). Utilisez la ROM Japon/États-Unis non modifiée.
Cannot create the local ROM folder. Move the game to a writable folder and retry.	Impossible de créer le dossier local de la ROM. Déplacez le jeu dans un dossier accessible en écriture et réessayez.
Could not write and verify the local copy. Check free disk space and folder permissions.	Impossible d'enregistrer et de vérifier la copie locale. Vérifiez l'espace libre et les permissions du dossier.
Cannot preserve the invalid local ROM. Check folder permissions and retry.	Impossible de conserver l'ancienne ROM locale invalide. Vérifiez les permissions du dossier et réessayez.
Could not install the verified ROM. Your selected source file was not changed.	Impossible d'installer la ROM vérifiée. Votre fichier d'origine n'a pas été modifié.
Invalid seed, skill, progression or tablet quota.	Le numéro de seed, le niveau, la progression ou le quota de tablettes est invalide.
Settings must contain JSON objects.	Les paramètres doivent contenir des objets JSON.
Mirror and Race are outside the supported scope of this port.	Les modes miroir et course ne sont pas pris en charge dans ce port.
Invalid gameplay option: 	Option de jeu invalide : 
Invalid technique: 	Technique invalide : 
Invalid combat or traversal tolerance: 	Tolérance de combat ou de déplacement invalide : 
Settings exceed the sharing limit.	Les paramètres dépassent la limite de partage.
Could not encode settings.	Impossible d'encoder les paramètres.
Invalid or damaged settings string. The current settings were kept.	Le code de paramètres est invalide ou endommagé. Les paramètres actuels ont été conservés.
Invalid save-bank recovery journal	Le journal de récupération des sauvegardes est invalide.
Cannot finish save-bank recovery	Impossible de terminer la récupération des sauvegardes.
This seed requires patches that are not implemented in the native port.	Cette seed exige des modifications qui ne sont pas encore intégrées au port natif.
Unsupported seed behavior: 	Comportement de seed non pris en charge : 
Save bank awaits recovery: 	Le groupe de sauvegardes attend une récupération : 
Invalid A/B/C save bank	Le groupe de sauvegardes A/B/C est invalide.
Invalid slot manifest	Le manifeste de l'emplacement est invalide.
Invalid save profile: 	Profil de sauvegarde invalide : 
Invalid profile ID.	L'identifiant du profil est invalide.
Invalid generation state	L'état de génération est invalide.
Invalid pending randomizer settings	Les paramètres de randomisation en attente sont invalides.
Invalid completion or technique settings	Les paramètres de victoire ou de techniques sont invalides.
Seed manifest is missing, changed or incompatible.	Le manifeste de la seed est absent, modifié ou incompatible.
Missing tracker data in generated profile	Il manque des données de suivi dans le profil généré.
Invalid saved seed rules	Les règles de seed sauvegardées sont invalides.
Invalid saved seed request	La demande de seed sauvegardée est invalide.
Invalid saved patch selection	La sélection de modifications sauvegardée est invalide.
Invalid complete seed draft	Les paramètres complets de la seed sont invalides.
Cannot create save directory.	Impossible de créer le dossier de sauvegarde.
Cannot publish save profile. Existing saves were preserved.	Impossible d'enregistrer le profil. Les sauvegardes existantes ont été préservées.
Profile is not awaiting a complete seed and tracker contract	Ce profil n'attend pas de seed complète ni de données de suivi.
This profile already owns another generated game	Ce profil contient déjà une autre partie générée.
Seed does not match the new game's settings	La seed ne correspond pas aux paramètres de la nouvelle partie.
Invalid profile metadata	Les métadonnées du profil sont invalides.
Seed rules differ from the new game request	Les règles de la seed diffèrent de celles demandées pour la nouvelle partie.
Invalid effective rules	Les règles appliquées sont invalides.
Completion or technique settings changed during generation	Les paramètres de victoire ou de techniques ont changé pendant la génération.
Seed options changed during generation	Les options de la seed ont changé pendant la génération.
Cannot save generated game and tracker data	Impossible de sauvegarder la partie générée et ses données de suivi.
Cannot publish generated game metadata	Impossible d'enregistrer les métadonnées de la partie générée.
Invalid SRAM transaction	L'opération sur la SRAM est invalide.
Cannot prepare save-bank transaction	Impossible de préparer la modification des sauvegardes.
Cannot publish A/B/C slot metadata	Impossible d'enregistrer les métadonnées des emplacements A/B/C.
Cannot create slot manifest	Impossible de créer le manifeste de l'emplacement.
Cannot create save bank	Impossible de créer le groupe de sauvegardes.
Cannot import SRAM	Impossible d'importer la SRAM.
Cannot import existing achievements	Impossible d'importer les succès existants.
Invalid save slot	L'emplacement de sauvegarde est invalide.
This slot is not awaiting generation.	Cet emplacement n'attend pas de génération.
Cannot save slot settings	Impossible de sauvegarder les paramètres de cet emplacement.
The target save slot changed during generation	L'emplacement de sauvegarde visé a changé pendant la génération.
Isolated marker missing	Le marqueur d'environnement isolé est absent.
Invalid seed settings	Les paramètres de la seed sont invalides.
Native randomizer module unavailable	Le module natif de randomisation n'est pas disponible.
Randomizer runtime failed; see native log	La randomisation a échoué. Consultez le journal natif.
Invalid seed JSON	Le fichier JSON de la seed est invalide.
Generation failed	La génération a échoué.
Missing manifest	Le manifeste est absent.
Unsupported or incomplete seed manifest	Le manifeste de la seed est incomplet ou non pris en charge.
Invalid seed fingerprint	L'empreinte de la seed est invalide.
Invalid placement	Le placement d'objet est invalide.
Placement out of bounds	Un objet est placé hors des limites permises.
Invalid native pickup kind	Le type natif d'objet à ramasser est invalide.
Placement outside native item tables	Le placement est absent des tables d'objets natives.
Missing or inconsistent HUD count contract	Les données de compteurs du HUD sont absentes ou incohérentes.
Invalid suit behavior	Le comportement des combinaisons est invalide.
Missing suit behavior	Le comportement des combinaisons n'est pas défini.
Gameplay option and native behavior disagree	L'option de jeu ne correspond pas au comportement natif.
Relic count and completion quota disagree	Le nombre de reliques ne correspond pas au quota de victoire.
Invalid tablet escape duration	La durée de fuite des tablettes est invalide.
Door indicators require the native world contract	Les indicateurs de portes exigent les données du monde natif.
Area/initial doors require the native world contract	Les connexions de régions et les portes initiales exigent les données du monde natif.
Invalid native start/world contract	Les données de départ ou du monde natif sont invalides.
